SensorType,hart,time
HRMLED RED,33268.0,2017-05-13 23:38:48.774
HRMLED RED,33542.0,2017-05-13 23:38:48.788
HRMLED RED,33854.0,2017-05-13 23:38:48.794
HRMLED RED,34588.0,2017-05-13 23:38:48.805
HRMLED RED,36522.0,2017-05-13 23:38:48.815
HRMLED RED,39395.0,2017-05-13 23:38:48.825
HRMLED RED,42299.0,2017-05-13 23:38:48.839
HRMLED RED,44248.0,2017-05-13 23:38:48.845
HRMLED RED,44873.0,2017-05-13 23:38:48.858
HRMLED RED,45105.0,2017-05-13 23:38:48.865
HRMLED RED,45283.0,2017-05-13 23:38:48.879
HRMLED RED,45446.0,2017-05-13 23:38:48.886
HRMLED RED,45638.0,2017-05-13 23:38:48.895
HRMLED RED,45829.0,2017-05-13 23:38:48.907
HRMLED RED,46005.0,2017-05-13 23:38:48.915
HRMLED RED,46174.0,2017-05-13 23:38:48.925
HRMLED RED,46319.0,2017-05-13 23:38:48.935
HRMLED RED,46378.0,2017-05-13 23:38:48.945
HRMLED RED,46429.0,2017-05-13 23:38:48.956
HRMLED RED,46473.0,2017-05-13 23:38:48.965
HRMLED RED,46499.0,2017-05-13 23:38:48.976
HRMLED RED,46529.0,2017-05-13 23:38:48.986
HRMLED RED,46612.0,2017-05-13 23:38:48.996
HRMLED RED,46745.0,2017-05-13 23:38:49.007
HRMLED RED,46891.0,2017-05-13 23:38:49.016
HRMLED RED,47026.0,2017-05-13 23:38:49.026
HRMLED RED,47139.0,2017-05-13 23:38:49.035
HRMLED RED,47201.0,2017-05-13 23:38:49.046
HRMLED RED,47257.0,2017-05-13 23:38:49.059
HRMLED RED,47293.0,2017-05-13 23:38:49.067
HRMLED RED,47339.0,2017-05-13 23:38:49.078
HRMLED RED,47383.0,2017-05-13 23:38:49.087
HRMLED RED,47404.0,2017-05-13 23:38:49.098
HRMLED RED,47404.0,2017-05-13 23:38:49.113
HRMLED RED,47354.0,2017-05-13 23:38:49.117
HRMLED RED,47310.0,2017-05-13 23:38:49.130
HRMLED RED,47300.0,2017-05-13 23:38:49.137
HRMLED RED,47309.0,2017-05-13 23:38:49.147
HRMLED RED,47310.0,2017-05-13 23:38:49.159
HRMLED RED,47340.0,2017-05-13 23:38:49.167
HRMLED RED,47406.0,2017-05-13 23:38:49.178
HRMLED RED,47548.0,2017-05-13 23:38:49.188
HRMLED RED,47787.0,2017-05-13 23:38:49.198
HRMLED RED,47946.0,2017-05-13 23:38:49.210
HRMLED RED,48031.0,2017-05-13 23:38:49.217
HRMLED RED,48064.0,2017-05-13 23:38:49.231
HRMLED RED,48145.0,2017-05-13 23:38:49.238
HRMLED RED,48218.0,2017-05-13 23:38:49.249
HRMLED RED,48268.0,2017-05-13 23:38:49.263
HRMLED RED,48282.0,2017-05-13 23:38:49.268
HRMLED RED,48314.0,2017-05-13 23:38:49.281
HRMLED RED,48308.0,2017-05-13 23:38:49.288
HRMLED RED,48334.0,2017-05-13 23:38:49.298
HRMLED RED,48337.0,2017-05-13 23:38:49.312
HRMLED RED,48328.0,2017-05-13 23:38:49.318
HRMLED RED,48304.0,2017-05-13 23:38:49.328
HRMLED RED,48291.0,2017-05-13 23:38:49.338
HRMLED RED,48263.0,2017-05-13 23:38:49.349
HRMLED RED,48266.0,2017-05-13 23:38:49.362
HRMLED RED,48291.0,2017-05-13 23:38:49.369
HRMLED RED,48325.0,2017-05-13 23:38:49.382
HRMLED RED,48338.0,2017-05-13 23:38:49.389
HRMLED RED,48351.0,2017-05-13 23:38:49.401
HRMLED RED,48370.0,2017-05-13 23:38:49.416
HRMLED RED,48405.0,2017-05-13 23:38:49.420
HRMLED RED,48433.0,2017-05-13 23:38:49.433
HRMLED RED,48460.0,2017-05-13 23:38:49.439
HRMLED RED,48506.0,2017-05-13 23:38:49.450
HRMLED RED,48542.0,2017-05-13 23:38:49.463
HRMLED RED,48556.0,2017-05-13 23:38:49.470
HRMLED RED,48581.0,2017-05-13 23:38:49.480
HRMLED RED,48593.0,2017-05-13 23:38:49.490
HRMLED RED,48623.0,2017-05-13 23:38:49.500
HRMLED RED,48653.0,2017-05-13 23:38:49.515
HRMLED RED,48654.0,2017-05-13 23:38:49.520
HRMLED RED,48646.0,2017-05-13 23:38:49.538
HRMLED RED,48646.0,2017-05-13 23:38:49.540
HRMLED RED,48639.0,2017-05-13 23:38:49.554
HRMLED RED,48611.0,2017-05-13 23:38:49.571
HRMLED RED,48583.0,2017-05-13 23:38:49.573
HRMLED RED,48533.0,2017-05-13 23:38:49.585
